"File Name","Global Clustering Coefficient","Average Network Clustering Coefficient","Edge Ratio","Pearson's Correlation Coefficient"
polbooks.xml,0.002987303958177745,0.8755685662137599,0.8412698412698413,0.9583936313829555
polbooks_rand_soc1.xml,6.934812760055478E-5,0.05433968982841163,0.4551282051282051,0.734967318597682
polbooks_rand_soc2.xml,4.267577083111064E-5,0.020294973835442653,0.4394904458598726,0.7004957695261237
polbooks_rand_soc3.xml,9.602048436999894E-5,0.06341744623257228,0.33727810650887574,0.8886795658676991
polbooks_rand_soc4.xml,1.440307265549984E-4,0.10742428276262861,0.378698224852071,0.867804888384142
polbooks_rand_soc5.xml,7.468259895444362E-5,0.0731760165300538,0.40789473684210525,0.8259958685536968
polbooks_rand_soc6.xml,7.468259895444362E-5,0.05137764926584802,0.47058823529411764,0.8630285584506207
polbooks_rand_soc7.xml,4.801024218499947E-5,0.03704840133411562,0.4240506329113924,0.8022169164558607
polbooks_rand_soc8.xml,1.1735836978555425E-4,0.11183451814512223,0.3961038961038961,0.8940419083184373
polbooks_rand_soc9.xml,1.4936519790888724E-4,0.0829811389379427,0.3546511627906977,0.9229924100995535
polbooks_rand_soc10.xml,9.602048436999894E-5,0.06787359862547833,0.325,0.8925505814130866
polbooks_rand_soc11.xml,8.535154166222128E-5,0.08378603966839261,0.3310344827586207,0.8883347921456567
polbooks_rand_soc12.xml,1.0135495572388776E-4,0.05999232736074841,0.4140127388535032,0.8983393002453882
polbooks_rand_soc13.xml,6.934812760055478E-5,0.04158961830346174,0.43506493506493504,0.8822066443286968
polbooks_rand_soc14.xml,8.001707030833244E-5,0.07360835391891292,0.42,0.8070914651612723
polbooks_rand_soc15.xml,9.602048436999894E-5,0.06285611680569664,0.3475609756097561,0.7998039068444318
polbooks_rand_soc16.xml,1.1202389843166542E-4,0.06199626771055342,0.42592592592592593,0.9314627010113192
polbooks_rand_soc17.xml,6.934812760055478E-5,0.061487153288395525,0.43333333333333335,0.8989399055492558
polbooks_rand_soc18.xml,3.734129947722181E-5,0.03846492132206417,0.3691275167785235,0.7761114826664967
polbooks_rand_soc19.xml,4.801024218499947E-5,0.03962798410166831,0.38666666666666666,0.7566213822825467
polbooks_rand_soc20.xml,6.401365624666596E-5,0.045915618772761624,0.44785276073619634,0.7675630724676596
polbooks_rand_soc21.xml,7.468259895444362E-5,0.06472427043855616,0.3961038961038961,0.7934071545033604
polbooks_rand_soc22.xml,6.401365624666596E-5,0.04163450536121344,0.43209876543209874,0.7372990563125972
polbooks_rand_soc23.xml,1.1735836978555425E-4,0.11071089189556088,0.4782608695652174,0.9491196123186504
polbooks_rand_soc24.xml,1.2802731249333192E-4,0.10053151893731604,0.43352601156069365,0.8978474495938256
polbooks_rand_soc25.xml,9.602048436999894E-5,0.05339649687454683,0.35668789808917195,0.9201586546386264
polbooks_rand_soc26.xml,3.734129947722181E-5,0.02884020274776577,0.32666666666666666,0.8058515779660814
polbooks_rand_soc27.xml,9.602048436999894E-5,0.09061470583065268,0.48125,0.9145011444405622
polbooks_rand_soc28.xml,9.06860130161101E-5,0.05573553430696288,0.34459459459459457,0.839009605411188
polbooks_rand_soc29.xml,9.602048436999894E-5,0.08803017503297617,0.47586206896551725,0.9098200210172324
polbooks_rand_soc30.xml,2.0804438280166437E-4,0.1336165646142403,0.3179190751445087,0.9470579824901771
polbooks_rand_soc31.xml,1.5469966926277606E-4,0.1292637179657955,0.38650306748466257,0.8961461589070601
polbooks_rand_soc32.xml,5.8679184892777126E-5,0.04013197198071149,0.42857142857142855,0.8785123320341338
polbooks_rand_soc33.xml,1.2802731249333192E-4,0.11678025056176318,0.4370860927152318,0.9504834829027933
polbooks_rand_soc34.xml,1.1202389843166542E-4,0.07119540071921024,0.30538922155688625,0.9024668960163496
polbooks_rand_soc35.xml,9.602048436999894E-5,0.06561121418264275,0.4405594405594406,0.9065418237744262
polbooks_rand_soc36.xml,7.468259895444362E-5,0.07468652810267717,0.3835616438356164,0.8866289339446223
polbooks_rand_soc37.xml,4.267577083111064E-5,0.02969646338067391,0.35947712418300654,0.723856817192286
polbooks_rand_soc38.xml,7.468259895444362E-5,0.027729169286002546,0.41025641025641024,0.8649985209129054
polbooks_rand_soc39.xml,5.8679184892777126E-5,0.03113647391323679,0.4267515923566879,0.8103206686348707
polbooks_rand_soc40.xml,3.200682812333298E-5,0.02912960055817199,0.38620689655172413,0.4668912263420798
polbooks_rand_soc41.xml,6.401365624666596E-5,0.05715394546048547,0.4276315789473684,0.829319138452807
polbooks_rand_soc42.xml,1.1202389843166542E-4,0.11079363602472846,0.3548387096774194,0.9189585776229817
polbooks_rand_soc43.xml,9.06860130161101E-5,0.05706302515826325,0.3987730061349693,0.8751399166227618
polbooks_rand_soc44.xml,9.06860130161101E-5,0.05672988387274101,0.4050632911392405,0.8677823974993482
polbooks_rand_soc45.xml,7.468259895444362E-5,0.026175804554840372,0.4024390243902439,0.8392704374693395
polbooks_rand_soc46.xml,6.401365624666596E-5,0.03915788537637277,0.41875,0.8255835672742288
polbooks_rand_soc47.xml,4.267577083111064E-5,0.029999444999445,0.3935483870967742,0.726114624242397
polbooks_rand_soc48.xml,1.0135495572388776E-4,0.059614859873659054,0.3961038961038961,0.8147423275474336
polbooks_rand_soc49.xml,4.801024218499947E-5,0.039826625616099294,0.3630573248407643,0.7666687212172804
polbooks_rand_soc50.xml,5.8679184892777126E-5,0.03265278360147888,0.34615384615384615,0.795224330682214
